,id,lat,long
0,1,30.550045,-97.861763
1,3,30.537706,-97.842574
2,5,30.49655,-97.901257
3,7,30.498174,-97.82787900000001
4,9,30.488843,-98.05364399999999
5,11,30.367501,-98.056627
6,13,30.416288,-97.888347
7,15,30.398674,-97.83899
8,17,30.320471,-97.972406
9,19,30.367501,-97.984566
10,21,30.351176000000002,-97.937276
11,23,30.374973999999998,-97.834683
12,25,30.221921999999996,-97.974997
13,27,30.32358,-97.939978
14,29,30.321831,-97.89921
15,31,30.344763,-97.86994200000001
16,33,30.318718,-97.841425
17,35,30.304378999999997,-97.91918199999999
18,37,30.352596999999996,-97.921387
19,39,30.351189,-97.779089
20,41,30.288711,-97.833651
21,43,30.272365999999998,-98.013199
22,45,30.267169,-97.899068
23,47,30.513457,-97.665825
24,49,30.286457000000002,-97.843688
25,51,30.205053000000003,-97.932402
26,53,30.196482,-97.909655
27,55,30.260857,-97.85174599999999
28,57,30.247459000000003,-97.825581
29,59,30.25396,-97.89528100000001
30,61,30.246756,-97.872037
31,63,30.240246999999997,-97.852166
32,65,30.237106,-97.93101
33,67,30.249878999999996,-97.909155
34,69,30.244941999999998,-97.985156
35,71,30.209143,-97.95455799999999
36,73,30.221875,-97.905353
37,75,30.222138,-97.883969
38,77,30.230631,-97.858915
39,79,30.232836,-97.839501
40,81,30.225853000000004,-97.86222099999999
41,83,30.220626,-97.849136
42,85,30.214574,-97.836175
43,87,30.39592,-97.773059
44,89,30.188692,-97.85835300000001
45,91,30.209984999999996,-97.920445
46,93,30.179056,-97.914187
47,95,30.342242,-97.809077
48,97,30.152803999999996,-97.866404
49,99,30.188004,-97.84139300000001
50,101,30.164296999999998,-97.854535
51,103,30.599148,-97.832171
52,105,30.589421,-97.756155
53,107,30.627603000000004,-97.663039
54,109,30.569989,-97.644672
55,111,30.518674,-97.76876800000001
56,113,30.542739,-97.739952
57,115,30.544608,-97.68321800000001
58,117,30.480534999999996,-97.811989
59,119,30.500992,-97.793977
60,121,30.506262,-97.733466
61,123,30.526432,-97.699474
62,125,30.530948,-97.67793499999999
63,127,30.537872999999998,-97.628339
64,129,30.522907,-97.674702
65,131,30.514658,-97.684306
66,133,30.468471,-97.609093
67,135,30.520364,-97.690696
68,137,30.512392,-97.67542900000001
69,139,30.477234999999997,-97.748408
70,141,30.506831,-97.681264
71,143,30.500887,-97.678514
72,145,30.505463,-97.648706
